BARRI;DISTRICTE;NOM_BARRI
1;1;el Raval
2;1;el Barri Gòtic
3;1;la Barceloneta
4;1;Sant Pere, Santa Caterina i la Ribera
5;2;el Fort Pienc
7;2;la Dreta de l'Eixample
8;2;l'Antiga Esquerra de l'Eixample
9;2;la Nova Esquerra de l'Eixample
10;2;Sant Antoni
11;3;el Poble Sec
12;3;la Marina del Prat Vermell
13;3;la Marina de Port
15;3;Hostafrancs
18;3;Sants
19;4;les Corts
26;5;Sant Gervasi - Galvany
31;6;la Vila de Gràcia
32;6;el Camp d'en Grassot i Gràcia Nova
33;7;el Baix Guinardó
34;7;Can Baró
37;7;el Carmel
41;7;la Vall d'Hebron
43;7;Horta
44;8;Vilapicina i la Torre Llobeta
47;8;Can Peguera
48;8;la Guineueta
49;8;Canyelles
55;8;Ciutat Meridiana
57;8;la Trinitat Vella
58;9;Baró de Viver
59;9;el Bon Pastor
61;9;la Sagrera
62;9;el Congrés i els Indians
64;9;el Camp de l'Arpa del Clot
65;10;el Clot
66;10;el Parc i la Llacuna del Poblenou
68;10;el Poblenou
69;10;Diagonal Mar i el Front Marítim del Poblenou
70;10;el Besòs i el Maresme
71;10;Provençals del Poblenou
72;10;Sant Martí de Provençals
