CODI_CAPA;CAPA_GENERICA;NOM_CAPA;ED50_COORD_X;ED50_COORD_Y;ETRS89_COORD_X;ETRS89_COORD_Y;LONGITUD;LATITUD;EQUIPAMENT;DISTRICTE;BARRI;NOM_DISTRICTE;NOM_BARRI;ADRECA;TELEFON
P001;Internet i comunicacions         ;WiFi BCN                                        ;429688.5;4583463.5;429596.6;4583262.5;2.157796;41.39782;Punt de connexió Barcelona WiFi a la cruïlla del Passeig de Gràcia amb el carrer Sèneca;6;31;Gràcia;la Vila de Gràcia;Pg Gràcia, 129 AA2;null00
P001;Internet i comunicacions         ;WiFi BCN                                        ;430620.62;4583207.0;430528.7;4583006.0;2.168974;41.39559;Mercat de La Concepció;2;7;Eixample;la Dreta de l'Eixample;C Aragó, 311*LBA;934575329
P001;Internet i comunicacions         ;WiFi BCN                                        ;429010.2;4582676.5;428918.28;4582475.5;2.149775;41.39067;Punt de connexió Barcelona WiFi a la cruïlla del carrer Villaroel amb carrer Paris;2;8;Eixample;l'Antiga Esquerra de l'Eixample;C Villarroel, 186;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431100.47;4584949.5;431008.53;4584748.5;2.174515;41.411327;Punt de connexió Barcelona WiFi a la cruïlla del carrer Sant Antoni M. Claret amb Cartagena;2;6;Eixample;la Sagrada Família;C Sant Antoni Maria Claret, 216;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;428901.2;4582756.5;428809.25;4582555.5;2.148461;41.39138;Punt de connexió Barcelona WiFi a la cruïlla del carrer Villaroel amb carrer Londres;2;8;Eixample;l'Antiga Esquerra de l'Eixample;C Villarroel, 243;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431747.34;4584301.0;431655.4;4584100.5;2.182327;41.40554;Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb carrer Cartagena;2;6;Eixample;la Sagrada Família;C Aragó, 525;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;429533.12;4581527.0;429441.2;4581326.0;2.156163;41.380363;Punt de connexió Barcelona WiFi a la cruïlla del c. Viladomat amb la Gran Via de les Corts Catalanes;2;9;Eixample;la Nova Esquerra de l'Eixample;G.V. Corts Catalanes, 489;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;430431.25;4585119.5;430339.3;4584918.5;2.166489;41.412796;Punt de connexió Barcelona WiFi a la cruïlla de la Ronda Guinardo amb Edifici d'aigua;7;33;Horta-Guinardó;el Baix Guinardó;Rda Guinardó, 51;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;430253.97;4584271.5;430162.06;4584070.5;2.164466;41.405148;Punt de connexió Barcelona WiFi a la cruïlla del carrer Roger de Flor amb Trav. de Gràcia;6;32;Gràcia;el Camp d'en Grassot i Gràcia Nova;C Roger de Flor, 336;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;427378.9;4583487.5;427287.0;4583286.5;2.130167;41.39783;Punt de connexió Barcelona WiFi a la cruïlla del carrer Doctor Roux amb Via Augusta;5;24;Sarrià-Sant Gervasi;les Tres Torres;Via Augusta, 284;null
